,O*NET職業代碼,職業名稱,任務摘要,語意相似度,自動化風險分數
7323,17-2199,Microsystems Engineers,"Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.",0.076,0.014
7324,17-2199,Microsystems Engineers,"Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.",0.076,0.014
7325,17-2199,Microsystems Engineers,"Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.",0.076,0.014
7326,17-2199,Microsystems Engineers,"Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.",0.076,0.014
7327,17-2199,Microsystems Engineers,"Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.",0.076,0.014
7328,17-2199,Microsystems Engineers,"Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.",0.076,0.014
7329,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7330,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7331,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7332,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7333,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7334,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7335,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7336,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7337,17-2199,Microsystems Engineers,Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.,0.041,0.014
7338,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7339,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7340,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7341,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7342,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7343,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7344,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7345,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7346,17-2199,Microsystems Engineers,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.",0.035,0.014
7347,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7348,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7349,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7350,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7351,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7352,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7353,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7354,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7355,17-2199,Photonics Engineers,Analyze system performance or operational requirements.,0.185,0.014
7356,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7357,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7358,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7359,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7360,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7361,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7362,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7363,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7364,17-2199,Photonics Engineers,"Develop optical or imaging systems, such as optical imaging products, optical components, image processes, signal process technologies, or optical systems.",0.143,0.014
7365,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7366,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7367,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7368,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7369,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7370,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7371,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7372,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7373,17-2199,Photonics Engineers,Develop or test photonic prototypes or models.,0.017,0.014
7374,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7375,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7376,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7377,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7378,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7379,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7380,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7381,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7382,17-2199,Photonics Engineers,"Design, integrate, or test photonics systems or components.",0.103,0.014
7383,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7384,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7385,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7386,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7387,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7388,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7389,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7390,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7391,17-2199,Photonics Engineers,Assist in the transition of photonic prototypes to production.,-0.049,0.014
7392,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7393,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7394,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7395,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7396,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7397,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7398,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7399,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7400,17-2199,Photonics Engineers,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",0.071,0.014
7401,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7402,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7403,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7404,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7405,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7406,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7407,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7408,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7409,17-2199,Photonics Engineers,Write reports or proposals related to photonics research or development projects.,0.056,0.014
7410,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7411,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7412,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7413,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7414,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7415,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7416,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7417,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7418,17-2199,Photonics Engineers,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,0.141,0.014
7419,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7420,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7421,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7422,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7423,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7424,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7425,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7426,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7427,17-2199,Photonics Engineers,Determine applications of photonics appropriate to meet product objectives or features.,-0.027,0.014
7428,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7429,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7430,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7431,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7432,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7433,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7434,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7435,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7436,17-2199,Photonics Engineers,Conduct research on new photonics technologies.,0.019,0.014
7437,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7438,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7439,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7440,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7441,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7442,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7443,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7444,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7445,17-2199,Photonics Engineers,Design electro-optical sensing or imaging systems.,0.065,0.014
7446,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7447,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7448,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7449,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7450,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7451,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7452,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7453,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7454,17-2199,Photonics Engineers,"Document photonics system or component design processes, including objectives, issues, or outcomes.",0.189,0.014
7455,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7456,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7457,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7458,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7459,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7460,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7461,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7462,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7463,17-2199,Photonics Engineers,"Design photonics products, such as light sources, displays, or photovoltaics, to achieve increased energy efficiency.",0.065,0.014
7464,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7465,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7466,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7467,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7468,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7469,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7470,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7471,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7472,17-2199,Photonics Engineers,"Train operators, engineers, or other personnel.",0.052,0.014
7473,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7474,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7475,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7476,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7477,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7478,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7479,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7480,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7481,17-2199,Photonics Engineers,"Analyze, fabricate, or test fiber-optic links.",-0.071,0.014
7482,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7483,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7484,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7485,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7486,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7487,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7488,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7489,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7490,17-2199,Photonics Engineers,"Design gas lasers, solid state lasers, infrared, or other light emitting or light sensitive devices.",0.068,0.014
7491,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7492,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7493,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7494,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7495,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7496,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7497,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7498,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7499,17-2199,Photonics Engineers,Create or maintain photonic design histories.,0.113,0.014
7500,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7501,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7502,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7503,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7504,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7505,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7506,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7507,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7508,17-2199,Photonics Engineers,"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",-0.022,0.014
7509,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7510,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7511,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7512,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7513,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7514,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7515,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7516,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7517,17-2199,Photonics Engineers,"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",-0.089,0.014
7518,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7519,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7520,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7521,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7522,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7523,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7524,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7525,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7526,17-2199,Photonics Engineers,Design solar energy photonics or other materials or devices to generate energy.,-0.0,0.014
7527,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7528,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7529,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7530,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7531,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7532,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7533,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7534,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7535,17-2199,Photonics Engineers,Design or redesign optical fibers to minimize energy loss.,-0.003,0.014
7536,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7537,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7538,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7539,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7540,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7541,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7542,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7543,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7544,17-2199,Photonics Engineers,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0.062,0.014
7545,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7546,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7547,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7548,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7549,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7550,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7551,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7552,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7553,17-2199,Photonics Engineers,"Develop laser-processed designs, such as laser-cut medical devices.",0.027,0.014
7554,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7555,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7556,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7557,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7558,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7559,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7560,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7561,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7562,17-2199,Photonics Engineers,Design or develop new crystals for photonics applications.,0.07,0.014
7563,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7564,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7565,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7566,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7567,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7568,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7569,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7570,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7571,17-2199,Photonics Engineers,Design laser machining equipment for purposes such as high-speed ablation.,0.03,0.014
7572,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7573,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7574,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7575,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7576,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7577,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7578,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7579,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7580,17-2199,Photonics Engineers,"Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.",0.035,0.014
7581,17-2199,Robotics Engineers,"Review or approve designs, calculations, or cost estimates.",0.051,0.014
7582,17-2199,Robotics Engineers,"Review or approve designs, calculations, or cost estimates.",0.051,0.014
7583,17-2199,Robotics Engineers,"Review or approve designs, calculations, or cost estimates.",0.051,0.014
