職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
SRE 可靠性工程師 Site Reliability Engineer,恩兆資訊有限公司,1~3人,"雲端工程師
、系統工程師
、網路管理工程師",待遇面議,伺服器網站管理維護、資料庫系統管理維護、安裝與維護網路安全系統,不拘,嘉義市,2年,"我們正在尋找一位具有豐富經驗的 Site Reliability Engineer (SRE)，負責建立、維護和監控我們的系統架構，以確保高可用性、高性能和安全性。成功的候選人將負責設計、自動化和優化我們的基礎架構，並解決各種規模和複雜性的技術挑戰。

・持續優化 CI/CD 系統與流程，確保自動編譯部署的流程能夠持續運行
・與開發團隊攜手建置系統架構、部署流程及分析和優化系統性能
・建立自動化監控和警報系統，建設運維平台工具，提高運維效率
・建置維護相關系統服務，保證穩定性，透過監控告警針對不同狀況做處理
・持續建置各項服務的監控告警機制，分析系統問題並進行效能改善。(日常On-Call)
・製作 Production 維運相關文件
・迅速響應和解決正式環境中的故障，並進行事後分析，以改進未來的可靠性


【職位要求】
・熟練掌握 GCP 雲端服務使用
・具備操作 Container 及 Kubernetes等容器技術
・Kubernetes建置與高流量服務經驗
・熟悉以下至少一種程式語言:Go(最佳)、Python、Shell script
・具備架構與網路設計基礎知識(DNS、TCP/IP、Firewall、Load Balancer、Security)
・熟悉 Linux 作業系統及 Git 基本操作
・熟悉容器技術，如Docker，以及相關的容器管理工具
・具備CDN管理經驗
・具備 SQL/NoSQL 的部署、維護、備份經驗( MySQL/MongoDB/Redis )。"
Oracle DB資料庫維運駐點工程師 (新北汐止區）,布魯科技有限公司,1~2人,資料庫管理人員,待遇面議,不拘,專科,新北市汐止區,2年,"本公司有一專責負責提供多種資料庫顧問諮詢技術部門，專精於資料庫相關技術範圍，同時並有獨家代理資料庫監控應用軟體，期望及尋找喜歡挑戰學習新技能且立志成為IT服務業專業顧問的你。
如果您對Oracle資料庫有高度的熱情與自信，想進一步提昇資料庫技能者。本公司現正高薪召募DB專業顧問，我們提供自由的環境，有志轉型成為DB顧問者，歡迎您來應徵，以下是我們的工作內容：
《職務說明》
1.依據客戶需求，參與資料庫架構的設計，並提供建議，以創建最佳資料庫架構。
2.規劃、執行資料庫資料備援及回覆計畫。
3.管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等日常維運。
4.監控資料庫效能，並適時針對相關參數及SQL進行調校。
5.提供諮詢並協助處理資料庫的相關事項。
6.依客戶及專案需求至客戶端駐點。"
【JAVA遊戲伺服器後端工程師助理】★稀有職缺/完善教育訓練/團隊和諧/熱愛學習★,梵奧科技股份有限公司,1~3人,軟體工程師,"月薪30,000~50,000元",資料備份與復原、軟體程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,高中,雲林縣斗六市,1年,"1.依照需求定義系統的功能和性能，規劃完整流程，撰寫系統規格書，選擇合適的開發模型和方法。
2.使用 Java、C#、Python 程式語言和 MySQL 資料庫，根據系統規格書，設計和實現後端系統和應用程式，包括資料庫、API、邏輯層等。
3.對開發的系統和應用程式進行各種測試，如單元測試、整合測試、系統測試、壓力測試等，確保系統的功能和性能符合需求和規格，並修復發現的缺陷。
4.優化維護已經建置完成的系統，系統異常狀況排除，確保系統的穩定性、可擴展性和高可用性。
5.使用MySQL、MSSQL關聯式資料庫設計、開發和管理資料庫系統，串接資料產匯統計報表，優化資料庫的效能、安全性和可靠性，解決資料庫的問題和故障。
6.與其他開發人員和團隊成員合作，提供資料庫的技術支援和建議。
7.使用SVN管理和追蹤應用系統的結構，以便於團隊協作、變更追溯和安全部署。
8.系統安裝與環境設定 (Windows Server、JAVA JDK、MYSQL Server、SQL Server、IIS、Vmware、PVE、SVN)。"
資料分析人員(FE),德義資訊股份有限公司,2人,資料工程師,待遇面議,不拘,大學,新北市新店區,3年,"工作內容：
．參與既有資料流程的盤點與轉換，將現有 ETL 工具的邏輯轉換為 Python 程式
．協助資料遷移至 AWS Databricks，並優化資料處理效能
．撰寫高效 SQL 查詢並進行資料清理、轉換與整併
．與團隊協作設計並建置穩定、可維護的資料處理流程
．使用 Git 進行版本控管，並於 Jira 上追蹤任務進度

主要技能需求：
．熟悉 SQL 語法，具備資料清理、轉換與查詢經驗
．熟悉大資料量處理，具備效能調校能力
．具備 Python 撰寫經驗，或其他程式語言背景並能快速學習轉換至 Python

尤佳條件（加分）：
．有實際 ETL 流程開發經驗或對 ETL 架構有清晰理解
．熟悉 AWS 或 Databricks 使用經驗
．具備資料流程最佳化、監控、錯誤處理設計經驗

使用工具環境：
．Git（版本控管）
．Jira（任務管理）
．AWS、Databricks、Python（開發環境）"
系統分析師(SA),台灣碳資產股份有限公司,1人,"網路管理工程師
、系統工程師
、系統分析師","月薪30,000~50,000元",資料庫系統管理維護、安裝與維護網路安全系統、作業系統基本操作、測試計劃及測試報告書撰寫、軟體整合測試、問題追蹤處理(Bug tracking)、使用者測試(Usability test)、功能測試(function test)、系統整合分析、資訊設備環境設定、資訊設備操作檢修,專科,台中市西屯區,1年,"你知道嗎？
到2030年，全球綠能產業的就業成長率預估將增加至少3倍！隨著2050年淨零排放目標的推進，「碳中和」不再只是趨勢，而是所有職涯的必修課題。如果你關注永續發展，渴望用專業在綠能科技的歷史性變革中留下足跡，現在就是最好的時機！

為什麼選擇我們？
母公司台灣低碳集團深耕太陽光電領域超過十年，專注於提供從電廠建置到碳資產管理的全面解決方案。隨著綠能產業的不斷升溫，我們正致力於轉型，拓展綠能科技服務新業務。這是一場國際賽局，我們相信，每一位加入的夥伴都將成為這場歷史變革的關鍵角色。

我們的夥伴具備什麼特質？
1. 不設限，勇於挑戰： 迎接多樣化需求並突破自身局限。
2. 專注與專業： 細心、謹慎，致力於高品質的工作表現。
3. 學習與成長： 願意投入時間累積知識與技能，打造無可取代的專業。

如果您對永續科技抱持熱情，且具備1-3年系統分析相關經驗（熟悉Java尤佳），我們誠摯邀請您加入這個充滿可能性的團隊，讓我們一起為地球的永續未來努力！

————————————————————————————————————

【你主要的工作內容Job Description】
1. 公司相關科服產品的系統分析與優化提案。
2. 軟體BUG整理、使用者需求訪談與分析。
3. 科服軟體新功能之需求蒐集與功能更新提案。
4. 公司相關科服產品之Roaming與第三方系統串接需求整理。
5. 進行業務規劃與流程優化設計、分析潛在需求，撰寫需求規格書。
6. 相關專案進度、問題追蹤、排除與回報。
7. 開發人員溝通與協調，協助進行UAT功能測試，確認系統功能與需求的一致性。
8. 公司新開發服務需求整理、相關技術分析
9. 其他主管交辦工作。

【我們希望你具備的特質與技能Qualification】
1. 有製程、流程改善能力或產品品質改善經驗佳。
2. 細心謹慎，對工作品質要求高、應變能力強。
3. 良好的溝通、團隊合作、獨立作業的能力 
4. 對工作抱持正面積極態度，不設限發展、勇於接受不同挑戰。
5. 1-3年以上的軟體系統分析師的實務經驗，有軟體經驗及熟悉Java為佳。 
6. 具備英文中等程度，TOEIC 550以上。
7. 依人員經驗與能力敘薪，試用期滿依表現調薪，後續依能力不定期調薪。"
軟體工程師,博訊生物科技股份有限公司,1人,軟體工程師,"月薪40,000元以上",系統整合分析、軟體工程系統開發、軟體程式設計、模組化系統設計、資料庫系統管理維護,大學,台北市內湖區,2年,"1. 參與各種智慧製造及數位轉型系統的開發、修改、測試、佈署、管理作業。
2. 協助建立無人智慧工廠，並執行各項系統整合、軟硬整合專案。
2. 負責軟體專案建置各項工作：包含討論系統需求、開發維護程式、管理資料庫、配置系統所需硬體設備、提供技術支援與系統整合等。
3. 接受主管的指示，協助處理其他相關工作。
4. 配合專案需求至客戶端(國內外出差)協助進行系統硬軟體架設及問題排除。"
軟體測試助理工程師,凌越資訊股份有限公司,2~5人,"資訊助理
、營運管理師／系統整合／ERP專案師
、資料庫管理人員","月薪32,000~36,000元",不拘,專科,台北市中山區,不拘," 1、研發部產品測試工作
 2、ERP產品測試、有 MS SQL 基礎者尤佳
 3、產品訓練教材的編制與語音檔的錄製，ERP產品的組訓任務
 4、商用軟體系統操作電話諮詢
 5、完成主管交辦事項（例：資料收發、跨部門聯繫、進度追蹤等）"
【IT】IT服務助理工程師(新竹)(新竹科學園區),智聯服務股份有限公司,1人,"助理工程師
、網路管理工程師","月薪40,000元以上",資訊設備環境設定,專科,新竹市,1年,"[駐點於聯發科]

• Support enterprise IT workplace services, including Windows or Linux OS.
• Compose IT documents, such as SOPs, Manual and others.
• Support IT projects and routine operations"
【AS/400 程式設計師 】.,大展證券股份有限公司,1人,軟體工程師,待遇面議,不拘,專科,台北市大同區,2年,"1. 證券帳務系統維運
2. AS400平台程式開發(RPG)"
PHP 程式設計師( PHP Programmer ),威德數位設計有限公司,2~4人,"Internet程式設計師
、軟體工程師
、MIS程式設計師","月薪38,000~50,000元",不拘,大學,台中市北區,2年,"我們不斷挑戰台灣知名的品牌案例, 
各種電子商務的需求我們照單全收,
讓網站程式設計不在只是套程式結案這樣的乏味,
如果你對程式開發有熱情, 熱愛挑戰極限且創新無極限,
我們正在尋找你!!

我們希望你最好有....

+ 高度審美觀念佳
+ 可以獨立作業
+ 抗壓性富學習力
+ 對程式設計有熱情
+ 有完整網站設計經驗者佳

+ 熟 PHP+mySQL / Laravel / MVC
+ 熟 HTML5 & CSS3
+ 熟 Javascript / jQuery / AJAX 
+ 熟XML / JSON 
+ 瞭解Linux基本操作
+ 二年以上相關工作經驗
+ 有EC / 金流串接經驗


請加入我們的Line官方徵才帳號
https://lin.ee/OUmdsjM"
[台中] 集團系統開發維護工程師-OA、BPM系統(需海外出差),薩摩亞商志強國際企業股份有限公司台灣分公司,不限,"軟體工程師
、營運管理師／系統整合／ERP專案師","月薪30,000~60,000元",軟體程式設計、資料庫程式設計,專科,台中市西屯區,2年,"1.負責公司電子表單簽核引擎資訊系統之程式開發與維護。 
2.專案管理與流程細節溝通，有系統分析能力，能判斷user需求是否合理。
3.負責程式設計、撰寫。
4.主管交辦事務。"
【大溪廠】 AOI技術經理,晶碩光學股份有限公司,1人,"自動控制工程師
、軟體工程師
、電機技師／工程師",待遇面議,不拘,大學,桃園市大溪區,5年,"1. 專案管理    
2. AOI系統導入及評估    
3. 影像技術研究及開發    
4. 人工智能研究及開發    
   "
軟體工程師(政府標案專案),綠易股份有限公司,1人,"Internet程式設計師
、軟體工程師",待遇面議,軟體工程系統開發、軟體程式設計、模組化系統設計,大學,新北市新店區,5年,"此職務主要負責食品履歷系統維護及政府標案專案網站開發建置，專案內容多樣化，可多方面接觸不同需求，歡迎想接受各種挑戰的工程師，並對雲端服務建構及軟體開發充滿熱情的您加入我們。

職務內容：
1. 參與食品履歷系統維護
2. 政府標案專案網站的規畫與設計
2. 系統程式開發，確保系統性能、品質及安全
3. 持續優化現行架構，對新技術保持學習熱情

產品說明頁面
https://www.ezglobal.com.tw/solutions-foodtraceability"
【誠品物流】自動化設備工程師,誠品生活股份有限公司,1人,"生產設備工程師
、系統工程師
、廠務",待遇面議,不拘,專科,桃園市平鎮區,1年,"【工作內容】
1.物流自動化設備異常排除一線人員
2.進行自動化設備與相關系統問題排除
3.系統設備維護及異常排除SOP文件撰寫
4.系統設備異常問題追蹤及改善專案
5.自動化設備運行測試驗證
6.主管交辦事項
7.需配合專案出差

【加分項目】
1.具備資料庫與資訊管理相關知識或背景者佳，無經驗或新鮮人可
2.溝通能力及抗壓力佳，有耐心，願意學習
3.對自動化系統設備問題處理及相關學習有高度興趣者"
NQ-測試主管,鴻佰科技股份有限公司,1人,"工廠主管
、硬體測試工程師
、軟體專案主管",待遇面議,不拘,大學,桃園市蘆竹區,10年,"1. 負責管理與領導測試、維修團隊，確保團隊成員依據專案任務需求和時程完成測試、維修任務。
2. 管理測試、維修各階段進度，並及時調整策略以應對突發狀況。
3. 對測試、維修數據與結果進行分析、識別關鍵問題，並提出改善建議。
4. 對客戶測試、維修需求、進度、結果及問題，能夠準確且高效地處理。
5. 預測測試、維修過程中潛在風險，合理分配資源，確保測試順利進行。"
外商中高階【遊戲後端技術總監】知名棋牌遊戲供應商/後端開發/具備遊戲產業相關經驗/福利完善、週休二日彈性上下班_TCS_670,藝珂人事顧問股份有限公司,1人,"後端工程師
、全端工程師
、軟體專案主管",待遇面議,遊戲開發、系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,專科,台中市西區,3年,"【工作職責】
1. 熟練C++語言，具有良好的程式設計風格；
2. 熟悉sql server/mysql，掌握預存程序編寫，基本效能優化；
3. 熟悉多執行緒程式設計 ，具有一定的演算法知識與能力；
4. 網路程式設計 tcp/ip，了解IOCP/SELECT程式設計模型；
5. 4年以上遊戲服務端開發工作經驗，有一定的專案經驗；
6. 熱愛網路遊戲事業，具備良好的團隊意識、溝通理解能力、執行力；
7. 從事棋牌遊戲業者優先；
8. 熟悉linux、接觸過skynet優先

【薪資福利】
★薪資面議保障，年薪13個月
1.享有完整勞/健保補助。
2.完整教育訓練(職前培訓、專業訓練、通識訓練等等)。
3.部門定期聚餐活動。
4.辦公室免費茶水零食提供。
5.年終獎金/禮品。
6.三節獎金/禮品。
7.生日禮金/禮品。"
(5G)多媒體應⽤開發工程師 Multimedia Application Developer-HTC02179,宏達電 HTC Corporation_宏達國際電子股份有限公司,1人,"軟體工程師
、Android工程師
、iOS工程師","月薪50,000元以上",不拘,碩士,新北市新店區,5年,"本職位提供多元且充滿挑戰的開發環境，適合對技術充滿熱忱、願意學習新技術的開發者。

【主要職責】
主要負責 Android 應用程式的開發與維護，並參與從需求分析到產品上線的完整開發流程。
● 開發及維護 Android 應用程式，確保系統穩定性與效能優化。
● 參與產品需求討論，提供技術可行性評估與建議。
● 開發及優化多媒體應用體驗，包括但不限於拍照、錄影、影音編輯與後製功能。
● 整合第三方 SDK，提升應用程式功能與效能。
● 撰寫高品質、可維護的程式碼，並進行單元測試與問題排除。
● 持續學習新技術與趨勢，並應用於專案開發。


This position offers a diverse and challenging development environment, ideal for developers who are passionate about technology and eager to learn new skills.

【Key Responsibilities】
The primary responsibility is to develop and maintain Android applications while participating in the full development cycle, from requirement analysis to product launch.
● Develop and maintain Android applications, ensuring system stability and performance optimization.
● Participate in product requirement discussions, providing technical feasibility assessments and recommendations.
● Develop and optimize multimedia application experiences, including but not limited to photography, video recording, editing, and post-processing features.
● Integrate third-party SDKs to enhance application functionality and performance.
● Write high-quality, maintainable code, conduct unit testing, and troubleshoot issues.
● Continuously learn new technologies and industry trends, applying them to project development."
軟體工程師-M6台南-10350,帆宣系統科技股份有限公司,1人,軟體工程師,待遇面議,軟體程式設計、資料庫軟體應用,大學,台南市善化區,2年,"1. 網頁程式開發設計
2. 圖控程式開發設計
3. 手機APP開發設計
4. 資料庫管理"
[SEC] Angular前端工程師,動力安全資訊股份有限公司,2人,"系統工程師
、網路管理工程師
、網路安全分析師",待遇面議,資訊設備環境設定、安裝與維護網路安全系統、網路系統配置,專科,台北市內湖區,3年,"1.開發及維護既有網站
2.與各系統後端串接
3.參與系統規劃設計，評估前端系統的可重用性、實作難易度與可維護性，確保系統能滿足客戶需求。
4.針對客戶需求進行客製，提供優質的使用者體驗。
5.進行單元測試，確保系統功能的正確性與穩定性。"
C#.NET軟體工程師/助理工程師,承啟醫系股份有限公司,1~2人,"軟體工程師
、軟韌體測試工程師","月薪30,000~50,000元",不拘,專科,台北市中山區,不拘,"主要客戶群為醫院，負責以下系統功能維護及增修 

1.科室報告管理系統 

2.醫療影像儲傳系統整合 

3.健康醫療解決方案 

 

所需技能如下 

 

主要需求: 

1.主要使用語言為 C#，使用.NetFramework 開發Windows Forms App 

2.具備 Web API，前後端基本概念尤佳。 

3.熟悉任一資料庫語言，MS SQL，Oracle，PostgreSQL... 

4.有責任感，能與夥伴配合 

 

無工作經驗可，夜間就學中可，醫療資訊相關科系或對醫療資訊有興趣者佳。

歡迎
所有求職者"
架構師,汎神國際有限公司,1人,軟體工程師,待遇面議,資料備份與復原、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統、規劃與管理防火牆、網路系統危機管理、網路系統配置,專科,台北市中正區,3年,"▍工作內容：

• 設計並規劃 AP 架構，確保系統穩定性與擴展性
• 技術選型與框架制定，推動最佳實踐
• 指導技術團隊並解決關鍵技術問題

 ▍需求條件：

• 具備 微服務架構設計 經驗
• 熟悉 Vue 3、.NET Core、容器（K8s）、APIM、DevSecOps
• 能夠制定技術標準並提供技術指導"
【台北松山區】駐點工程師／Op. Engineer （Helpdesk）,自由系統股份有限公司,1人,"系統工程師
、網路管理工程師
、MIS／網管主管","月薪35,000~50,000元",作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、網路設備設定安裝,專科,台北市信義區,不拘,"※  因應疫情發展，自由系統第一階段面談皆更改為Microsoft Teams視訊面談。

本職位為駐點性質，一周三天於客戶端（台北市信義區），兩天在自由系統本公司（台北市南港區），表現優異有機會轉為非駐點職。

工作職責及能力要求：
1. 駐點客戶端電腦基本問題排除等Helpdesk，包含硬體、Microsoft O365、AD、File Server、無線網路等日常維運事項。
2. 能有效與客戶溝通，於駐點現場初步判斷及處理問題，若需要支援可聯絡辦公室遠端團隊。
3. 需有基本的英文理解及口說能力（客戶端有外國人），不需要很流利，敢開口最重要
4.     案件回報並更新至內部系統
5.     協助專案任務執行
6.     製作日常維護報表
7.     一年或以上客戶技術支援經驗 - 用戶端電腦、伺服器、網路設備佳
————————————————————————————————
必備知識：
系統類：Windows Desktop OS、個人電腦硬體概念
網路類：基本WAN/LAN 知識

必備工作技能：
系統類：
* Windows Client障礙排除
* 障礙回報與描述
* Windows作業系統基本操作、管理、安裝
* 個人電腦硬體障礙排除

網路類：
* 區域網路基本設定與障礙排除
* Internet基本設定與障礙排除
* 無線網路基本設定與障礙排除

—————————————————————————————————
加分項目：
* 熟悉Linux基礎安裝設定加分。
* 具備辦公室網路維運經驗佳 
* 具備自我學習的能力、細心謹慎、耐心與負責任 
* 具備相關資訊證照尤佳"
【IT】監控維運工程師,宏碁雲架構服務股份有限公司,1人,"系統工程師
、網路管理工程師
、資訊設備管制人員","月薪32,000元以上",作業系統基本操作、資訊設備操作檢修、資訊設備環境設定、網路設備設定安裝、文書處理軟體操作、電子試算表軟體操作、簡報軟體操作,專科,桃園市龍潭區,1年,"宏碁雲架構服務股份有限公司主要提供企業專業的電子化資訊管理服務，除已整合機房、系統、網路、資安之維運管理能力外，隨著雲端服務隨取即用的需求及巨量資料各種應用的崛起，宏碁雲架構也持續自行開發了各種服務解決方案，主要業務範疇包含機房建置與實體設施維運、災難備援、雲端及大數據等服務。
因應業務成長需求，規劃聘僱人員工作職務如下：
1. 備援作業系統環境建置，MIS基本技能，包含基本電腦硬軟體安裝、故障排除與測試。
2. 監控中心作業執行，資訊服務台(Help Desk)操作，包含來電與監控事件通報紀錄與處理。
3. 資訊機房維運業務執行，包含資訊安全相關之各項管制作業及現場代操作支援服務。
4. 文書處理Office (Word、Excel、PowerPoint)。
5. 其他主管交辦事項。
6. 輪班制，四班二輪，採月輪調，夜班獎金另計。"
【顧問部】人工智慧策略與治理顧問(靈活工作地點)-319319,KPMG_安侯建業聯合會計師事務所,5人,"顧問
、其他資訊專業人員",待遇面議,不拘,碩士,台北市信義區,1年,"1. 協助客戶規劃產業AI策略與發展藍圖
2. 輔導客戶執行AI落地應用
3. 提供客戶AI治理及風險管理機制專業諮詢"
【明基佳世達集團】 羅昇企業 軟體工程師,羅昇企業股份有限公司,1人,軟體工程師,待遇面議,軟體工程系統開發,專科,新北市新莊區,3年,"1.負責製造業專案的開發與維護。
2.編寫技術文件與報告，確保專案進度清晰可循。
3.與團隊合作，共同推進開發目標與成果。
4.探索新技術，提升系統效能與用戶體驗。
5.完成主管交付的任務，展現你的專業能力。"
軟體應用工程師,松盟科技股份有限公司,1~2人,軟體工程師,"月薪30,000~50,000元",軟體程式設計,大學,台中市西屯區,不拘,"1. 解決客戶端現場軟體技術問題，並回饋給相關單位。
2. 開發客戶報表需求。
3. 軟體及系統之維護、設定、執行。
4. 軟體及系統之測試、除錯、修改。
5. 軟體專案需求管理與開發。
6. 熟悉C# /ASP.NET佳。"
(GA)軟體工程師(AOI),正崴精密工業股份有限公司,1人,"軟體工程師
、AI工程師",待遇面議,不拘,大學,新北市土城區,不拘,"1.進行自動化光學檢測架構規劃
2.協助單位自動化設備開發及維護
3.進行檢測相關功能之規劃及開發
4.導入檢測相關相關新技術
5.協助到廠協助單位檢測技術技轉及問題排除"
(新北)軟韌體工程師,同亨科技股份有限公司,1~2人,"韌體工程師
、軟體工程師
、演算法工程師",待遇面議,不拘,大學,新北市中和區,不拘,"1.Firmware programming
2.Utility/Tool AP programming
3.Testing and verifying
4.Certification performing
5.Payment scheme development (Apple Pay, Google Pay, Samsung Pay, MasterCard PayPass, VISA payWave…)"
規劃師(台中),準線智慧科技股份有限公司,1人,"資訊助理
、其他資訊專業人員
、其他專案管理師","月薪33,000~40,000元",不拘,大學,台中市西屯區,不拘,"【工作摘要】
 協助專案計畫執行、 每日檢測資訊系統及客服。  

【工作內容】
1.執行專案規劃、需求訪談、資料處理、資料數化及分析。
2.撰寫各階段報告書、簡報、文件。
3.檢測系統運作、相關資訊系統之測試、系統維護、MIS作業及資訊相關作業等。
4.辦理教育訓練、輔導系統上線。
5.配合短期出差。"
O365 Admin專案工程師,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,1人,"其他資訊專業人員
、系統工程師",待遇面議,不拘,大學,新北市土城區,不拘,"1.O365系統管理：
    - 端點管理/Exchange /Sharepoint /Teams
    - SharePoint網站管理
    - 使用 Power shell 自動化
    - OpenAI 與 Copilot 平台管理
    - O365 問題處理
    - O365使用者操作與雲端應用培訓
2. Power Platform管理：
    - On-premise gateway 維運
    - Power BI、Power Automate和Power Apps的問題處理
    - Power Automate流程Power Apps應用導入
3.  O365安全與合規管理:
    - 敏感度標籤和保留政策的制定
    - Teams 團隊管理以保護敏感資訊
    - Exchange 信件稽核與追蹤"
軟韌體研發工程師,眾陽機械製造股份有限公司,1~3人,"韌體工程師
、通訊軟體工程師
、軟體工程師","月薪50,000~85,000元",PCB電路板設計、光學電子整合開發、產品或零件測試驗證、產品開發預算與成本控管、新產品研發與測試、自動化系統設計整合、軟硬體設備成本控制、微機電系統設計、電機設備設計開發、數位電路分析設計、類比電路設計,專科,新北市土城區,3年,"1. 熟cortex-M系列控制器
2. 熟IAR或keil uVision或GCC開發環境 
3. 熟悉至少一種分時多工的即時作業系統
4. Git或SVN
5. 具通訊界面經驗,如Modbus,Bluetooth,Wifi,Ethernet
6. 具無刷馬達電路控制經驗及電路設計尤佳"
軟體開發工程師,宏盛建設股份有限公司,1人,軟體工程師,待遇面議,不拘,專科,台北市松山區,2年,"目前公司正在找尋▶軟體開發工程師◀ ▶加班少◀ ▶公司穩健◀，若您對於公司系統開發有高度興趣者~ 這個工作機會很適合您喔~~~期待您的加入~~~

【工作內容】
➜ 網頁表單開發與維護
➜ 內部系統專案開發參與
➜ 資訊系統整合、維護及測試作業
➜ 主管交辦工作事項

【工作地點】
➜ 台北市松山區（近捷運南京復興站，走路10分鐘，附近交通便利，機車停車位也很多）

【必要條件】
➜ C#、ASP.NET Framework/.Net Core6.0以上、.NET MVC(Framework/Core)

【加分條件】
➜ REST API設計/開發經驗
➜ 跨系統整合/異質系統(SAP、ERP、Oracle或其他)串接整合經驗"
*️⃣正職獵才*️⃣【全球知名銀行 | 資安工程師 Information Security Engineer】**入職即享11天年假** 豐富績效獎金 | 具完整教育訓練及升遷管道 | 歡迎資安/網路安全/系統管理人才加入｜BIS_210,藝珂人事顧問股份有限公司,2~3人,"資安工程師
、網路安全分析師
、網路管理工程師",待遇面議,不拘,大學,台北市北投區,不拘,"歡迎加入我們的團隊!

【Job Responsibilities】
• 資訊安全相關專案執行
• 維運及管理個人資料防護系統
• 維運及管理帳號權限管理系統
• 維運及管理資料庫稽核系統
• 執行弱點掃描作業 
• 資訊安全事件分析與後續追蹤
• 定期辦理資訊安全事件演練，如分散式阻斷服務攻防演練、模擬駭客攻擊演練、防範個資洩漏演練。
• 辦理資訊安全通報作業

【Requirements】
• 大學(含)以上畢業
• 具2-3年以上資訊安全領域經驗
• 熟悉基本網路安全和系統安全概念
• 具備網路、相關資安證照或ISO 27001證照者尤佳
• 基本英文能力

–––––––––––––––––––––––––––––––––––

▲【歡迎寄送履歷至信箱】: bonnie.hong@adecco.com
▲【歡迎私訊｜Line】: @502gnqjz (一鍵加入: https://lin.ee/ZKF9acn)"
PHP開發工程師,同人旺企業社,1~3人,軟體工程師,"月薪80,000~160,000元",系統架構規劃、軟體工程系統開發、軟體程式設計、網路程式設計、資料庫軟體應用,大學,日本,2年,"1. 熟悉Web前後端之組成架構
2. API開發維護
3. 能快速了解各種需求框架
4. 熟悉物件導向
5. 具備程式追蹤除錯的能力
6. 了解資料庫設計，具備基本資料庫正規化之知識
7. 具備良好的Coding習慣及技術文檔編寫的能力"
軟體工程師(熟悉車燈LIN bus /CAN bus通訊協議),海德威電子工業股份有限公司,不限,"軟體工程師
、Internet程式設計師
、通訊軟體工程師","月薪40,000~60,000元",不拘,專科,台中市西屯區,3年,"1.熟悉車燈LIN bus /CAN bus通訊協議.
2.熟悉Microchip MCU.
3.相關工作經驗3年以上."
綜合行政管理人員,富邦金融控股股份有限公司,1人,"行政人員
、其他資訊專業人員",待遇面議,不拘,專科,台北市內湖區,2年,"職位目的：負責辦理單位共通行政業務

重要職責/工作內容：
1.預算及費用管理
2.資產管理(包含財產盤點、軟體授權入庫等)及金控M+帳號管理/訊息發送
3.單位共通行政作業辦理，包含辦公室營繕裝修、設備用品採購等
4.與各公司進行資訊相關事務之溝通協調、進度追蹤
5.其它主管交辦事項"
ITSD-資安運維工程師,D-Link_友訊科技股份有限公司,1人,"資安工程師
、系統工程師",待遇面議,伺服器網站管理維護、資料備份與復原,專科,台北市內湖區,5年,"1.熟悉TrendMicro產品(如ApexOne、VisionOne等)
2.防毒系統、主機監控系統資訊蒐集與分析能力
3.弱點掃描與漏洞修補經驗，具WAF/IPS技術+DDos防護經驗佳
4.具有VMWare、Hyper-V維護經驗
5.AD網域的架設，DNS、GPO、WSUS的佈署，帳號控管
6.伺服器及用戶端電腦硬軟體的安裝、管理與維護，故障轉移的測試
7.具有實務備份系統規劃及運維經驗，協助災難還原的演練
8.Cloud產品(Azure、AWS、GCP等)運維經驗(加分)
9.ISO27001導入或實作經驗(加分)
10.Linux維護經驗(加分)
11.主管所交辦其他工作任務"
儲備幹部,新技術供應鏈與物流股份有限公司,不限,"儲備幹部
、系統分析師
、軟體專案主管","月薪40,000~50,000元",不拘,專科,桃園市觀音區,不拘,"本職位是新技術供應鏈與物流-智慧物流中心的核心成員。 
歡迎有志之士加入.共同建立台灣最先進的智慧物流體系.
為成績優異的管理培訓生,提供完整且快速的升遷管道。

【職務需求】
對從事現代化全通路物流具高度意願，可接受輪調養成訓練。

【培訓規劃】
1.第1年-物流單位基礎訓練：物流現場實習與輪調培訓(驗收、理貨、倉儲等相關作業)
2.第2年-現場主管或經營管理主管歷練.

【薪資說明】
試用通過評核，薪資 >= $40,000元


【我們需要這樣的您】
(1) 對現代化物流管理有興趣!
(2) 熱情活力,有幹勁!!!
(3) 具備團隊合作能力!

【如果您具備以下特質】
(1) 細心負責
(2) 反應靈敏
(3) 具備學習成長的企圖心

那麼新技術就是您的最佳選擇！
期待您加入我們！
共創美好未來！"
